ParticipantNumber,OrganizationName,BirthDate,HouseholdAddressType,HouseholdPostalCode,FamilySize,TotalInHousehold,HouseholdType,FamilySetting,IncomeCategory,HouseholdEconomicStatus,TotalVisits,FirstVisitDate
29573,BGCDC Allied Branch,,,,,,,,,,0.0,
22886,BGCDC Allied Branch,1971-08-22 00:00:00,,,,,,,,,2.0,2022-01-15
29529,BGCDC Allied Branch,,,,,,,,,,0.0,
26030,BGCDC Allied Branch,1966-11-15 00:00:00,,,,,,,,,1.0,2022-11-17
29572,BGCDC Allied Branch,,,,,,,,,,0.0,
29530,BGCDC Allied Branch,,,,,,,,,,3.0,2024-06-05
22070,BGCDC Allied Branch,1963-03-15 00:00:00,,,,,,,,,2.0,2022-01-15
22870,BGCDC Allied Branch,1948-06-13 00:00:00,,,,,,,,,2.0,2022-01-15
16937,BGCDC Allied Branch,,,,,,,,,,0.0,
22924,BGCDC Allied Branch,1962-06-13 00:00:00,,,,,,,,,2.0,2022-01-15
22796,BGCDC Allied Branch,1947-04-21 00:00:00,,,,,,,,,2.0,2022-01-15
21781,BGCDC Allied Branch,1954-11-22 00:00:00,,,,,,,,,2.0,2022-01-15
29534,BGCDC Allied Branch,,,,,,,,,,0.0,
29533,BGCDC Allied Branch,,,,,,,,,,0.0,
30556,BGCDC Allied Branch,2012-01-01 00:00:00,,,,1.0,,,,Unknown,0.0,
19177,BGCDC Allied Branch,2006-07-18 00:00:00,Home,53713,3.0,3.0,,,"$24,999 and under",Economically Disadvantaged,3.0,2021-12-18
16594,BGCDC Taft Branch,2017-07-29 00:00:00,,,,,,,,,0.0,
19133,BGCDC Allied Branch,2017-08-08 00:00:00,Home,53711,5.0,5.0,,,"$24,999 and under",Economically Disadvantaged,1.0,2021-12-18
16702,BGCDC Taft Branch,2006-08-09 00:00:00,Home,53713,,3.0,,,,Unknown,0.0,
19473,BGCDC Sun Prairie,1985-11-08 00:00:00,,,,,,,,,0.0,
19132,BGCDC Allied Branch,2009-09-18 00:00:00,Home,53711,5.0,5.0,,,"$24,999 and under",Economically Disadvantaged,1.0,2021-12-18
19049,BGCDC Sun Prairie,1988-04-06 00:00:00,,,,,,,,,0.0,
19207,BGCDC Allied Branch,2009-07-03 00:00:00,Apartment,53719,,2.0,,,,Unknown,1.0,2021-12-18
19178,BGCDC Allied Branch,2006-07-18 00:00:00,Home,53713,3.0,3.0,,,"$24,999 and under",Economically Disadvantaged,1.0,2021-12-18
19093,BGCDC Allied Branch,1984-06-04 00:00:00,Apartment,53711,4.0,4.0,,,"$24,999 and under",Economically Disadvantaged,1.0,2021-12-18
19131,BGCDC Allied Branch,2006-05-17 00:00:00,Home,53711,5.0,5.0,,,"$24,999 and under",Economically Disadvantaged,1.0,2021-12-18
19130,BGCDC Allied Branch,1981-08-23 00:00:00,Home,53711,5.0,5.0,,,"$24,999 and under",Economically Disadvantaged,1.0,2021-12-18
27758,BGCDC Allied Branch,,Home,53719,4.0,2.0,Both Parents,Both Parents,"$85,000 and above",Economically Disadvantaged,1.0,2023-11-03
10997,BGCDC Allied Branch,2004-02-14 00:00:00,,,,,,,,,8.0,2020-02-24
17018,BGCDC Allied Branch,1979-09-09 00:00:00,,,,,,,,,0.0,
6794,BGCDC Allied Branch,2000-04-06 00:00:00,Apartment,53718,2.0,2.0,,Unknown,Unknown,Economically Disadvantaged,0.0,
21699,BGCDC Allied Branch,1951-09-07 00:00:00,,,,,,,,,2.0,2022-01-15
30221,BGCDC Allied Branch,1964-09-20 00:00:00,,,,1.0,,,,Unknown,0.0,
20517,BGCDC Allied Branch,1961-12-25 00:00:00,,,,,,,,,2.0,2022-01-15
24532,BGCDC Allied Branch,1947-11-24 00:00:00,,,,,,,,,2.0,2022-01-15
20612,BGCDC Allied Branch,1973-03-26 00:00:00,,,,,,,,,2.0,2022-01-15
28462,BGCDC Allied Branch,,,,,,,,,,0.0,
7277,BGCDC Taft Branch,1999-05-27 00:00:00,,,,2.0,,,,Unknown,0.0,
8547,BGCDC Taft Branch,2001-05-20 00:00:00,,,,2.0,,,,Unknown,0.0,
583,BGCDC Taft Branch,1992-03-22 00:00:00,,,,3.0,,Both Parents,,Unknown,0.0,
584,BGCDC Taft Branch,1990-04-03 00:00:00,,,,3.0,,Both Parents,,Unknown,0.0,
11685,BGCDC Walco,2018-09-11 00:00:00,,,,,,,,,0.0,
11684,BGCDC Walco,2015-05-22 00:00:00,,,,,,,,,0.0,
11587,BGCDC Walco,1990-06-24 00:00:00,,,,,,,,,0.0,
24062,BGCDC Allied Branch,1957-08-23 00:00:00,,,,,,,,,2.0,2022-01-15
3430,BGCDC Allied Branch,2000-09-14 00:00:00,Home,53713,4.0,3.0,,Both Parents,"$50,000-$74,999",Economically Disadvantaged,0.0,
19387,BGCDC Allied Branch,1997-11-10 00:00:00,,,,,,,,,2.0,2022-01-15
12088,BGCDC Taft Branch,1997-11-10 00:00:00,,,,,,,,,0.0,
3841,BGCDC Taft Branch,1995-12-28 00:00:00,Home,53704,5.0,3.0,,Both Parents,"$24,999 and under",Economically Disadvantaged,0.0,
2935,BGCDC Allied Branch,1996-05-13 00:00:00,Home,,,1.0,,Both Parents,,Unknown,0.0,
16227,BGCDC Taft Branch,1994-06-03 00:00:00,Apartment,53704,,1.0,,Both Parents,,Unknown,0.0,
3001,BGCDC Allied Branch,1994-06-03 00:00:00,Apartment,53704,,1.0,,Both Parents,,Unknown,0.0,
1895,BGCDC Allied Branch,2002-01-09 00:00:00,Home,53711,4.0,3.0,,Father,"$24,999 and under",Economically Disadvantaged,0.0,
26441,BGCDC Allied Branch,,,,,,,,,,1.0,2022-12-14
2990,BGCDC Allied Branch,2003-12-15 00:00:00,Home,53711,4.0,3.0,,Father,"$24,999 and under",Economically Disadvantaged,0.0,
16225,BGCDC Taft Branch,1997-11-10 00:00:00,,,,,,,,,0.0,
2907,BGCDC Allied Branch,1995-11-10 00:00:00,Apartment,53704,,1.0,,Both Parents,,Unknown,0.0,
4323,BGCDC Allied Branch,2001-08-13 00:00:00,Work,53714,3.0,2.0,,Mother,Unknown,Economically Disadvantaged,0.0,
29022,BGCDC Allied Branch,,,,,,,,,,0.0,
2157,BGCDC Taft Branch,1997-10-16 00:00:00,Home,53713,5.0,5.0,5.03,Mother,"$50,000-$74,999",Economically Disadvantaged,0.0,
4944,BGCDC Taft Branch,2000-11-20 00:00:00,Home,53713,,1.0,,Mother,,Unknown,0.0,
21865,BGCDC Allied Branch,1961-12-14 00:00:00,,,,,,,,,2.0,2022-01-15
33155,BGCDC Walco,2019-04-01 00:00:00,,,,,,,,,3.0,2024-05-16
33154,BGCDC Walco,1963-11-08 00:00:00,,,,,,,,,2.0,2024-05-16
22899,BGCDC Allied Branch,1948-03-12 00:00:00,,,,,,,,,2.0,2022-01-15
6371,BGCDC Allied Branch,2007-07-30 00:00:00,Apartment,53711,4.0,2.0,,Mother,"$24,999 and under",Economically Disadvantaged,0.0,
23722,BGCDC Allied Branch,1953-07-05 00:00:00,,,,,,,,,2.0,2022-01-15
29023,BGCDC Allied Branch,,,,,,,,,,0.0,
28584,BGCDC Allied Branch,2006-06-27 00:00:00,,,,,,,,,0.0,
1567,BGCDC Taft Branch,1986-04-14 00:00:00,Home,,,1.0,,,,Unknown,0.0,
17993,BGCDC Sun Prairie,2021-04-15 00:00:00,,,,,,,,,0.0,
27680,BGCDC Allied Branch,2008-02-03 00:00:00,,,,,,,,,2.0,2023-02-01
17035,BGCDC Allied Branch,1960-09-27 00:00:00,,,,,,,,,0.0,
2908,BGCDC Allied Branch,1995-10-18 00:00:00,Home,53704,,1.0,,Both Parents,,Unknown,0.0,
28914,BGCDC Allied Branch,2009-04-28 00:00:00,,,,,,,,,0.0,
27594,BGCDC Allied Branch,2007-05-18 00:00:00,,,,,,,,,0.0,
28993,BGCDC Allied Branch,2009-04-13 00:00:00,,,,,,,,,1.0,2023-11-03
26605,BGCDC Taft Branch,2017-01-11 00:00:00,,,,,,,,,1.0,2023-01-25
26606,BGCDC Taft Branch,2013-07-24 00:00:00,,,,,,,,,2.0,2023-01-25
26607,BGCDC Taft Branch,2015-06-03 00:00:00,,,,,,,,,1.0,2023-01-25
21033,BGCDC Allied Branch,,,,,,,,,,2.0,2022-01-15
3054,BGCDC Taft Branch,1992-06-19 00:00:00,Home,53714,,1.0,,Both Parents,,Unknown,0.0,
31584,BGCDC Allied Branch,2011-01-01 00:00:00,,,,,,,,,4.0,2023-11-02
29943,BGCDC Allied Branch,,,,,,,,,,0.0,
4543,BGCDC Taft Branch,1997-12-01 00:00:00,Home,53713,6.0,3.0,,Both Parents,"$24,999 and under",Economically Disadvantaged,0.0,
4544,BGCDC Taft Branch,1999-04-03 00:00:00,Home,53713,,3.0,Two Parents,Both Parents,,Unknown,0.0,
3760,BGCDC Taft Branch,1995-09-03 00:00:00,Home,53711,6.0,3.0,,Both Parents,"$24,999 and under",Economically Disadvantaged,0.0,
3596,BGCDC Taft Branch,2003-05-06 00:00:00,Home,53704,4.0,2.0,7.00,Mother,"$24,999 and under",Economically Disadvantaged,0.0,
31572,BGCDC Allied Branch,2011-01-01 00:00:00,,,,,,,,,4.0,2023-11-02
31995,BGCDC Allied Branch,2011-01-01 00:00:00,,,,,,,,,0.0,
29931,BGCDC Allied Branch,,,,,,,,,,0.0,
30906,BGCDC Allied Branch,,,,,1.0,,,,Unknown,0.0,
4297,BGCDC Allied Branch,2000-11-14 00:00:00,Home,53593,2.0,2.0,,Unknown,Unknown,Economically Disadvantaged,0.0,
19436,BGCDC Sun Prairie,1987-11-16 00:00:00,,,,,,,,,0.0,
7000,BGCDC Taft Branch,2002-05-13 00:00:00,Home,53711,4.0,2.0,,Unknown,Unknown,Economically Disadvantaged,0.0,
7679,BGCDC Taft Branch,1999-08-29 00:00:00,,,,2.0,,,,Unknown,0.0,
1739,BGCDC Allied Branch,1991-09-09 00:00:00,Home,53704,,1.0,,Mother,,Unknown,0.0,
3272,BGCDC Taft Branch,1997-08-24 00:00:00,Home,53714,2.0,2.0,,Mother,"$25,000-$49,999",Economically Disadvantaged,0.0,
3437,BGCDC Allied Branch,2000-07-14 00:00:00,Home,53713,4.0,3.0,,Mother,"$24,999 and under",Economically Disadvantaged,0.0,
33064,BGCDC Allied Branch,2008-10-19 00:00:00,Home,53719,5.0,1.0,,Mother,"$24,999 and under",Economically Disadvantaged,31.0,2023-06-26
33050,BGCDC Allied Branch,2010-08-12 00:00:00,Home,53719,5.0,1.0,Single Parent,Mother,"$24,999 and under",Economically Disadvantaged,17.0,2024-06-18
22515,BGCDC Allied Branch,1955-02-08 00:00:00,,,,,,,,,2.0,2022-01-15
22516,BGCDC Allied Branch,1956-03-05 00:00:00,,,,,,,,,2.0,2022-01-15
15483,BGCDC Allied Branch,2020-07-22 00:00:00,,,,,,,,,0.0,
6668,BGCDC Allied Branch,2008-05-18 00:00:00,Apartment,53703,4.0,4.0,,Both Parents,"$24,999 and under",Economically Disadvantaged,0.0,
6667,BGCDC Allied Branch,2006-01-04 00:00:00,Apartment,53703,4.0,4.0,,Both Parents,"$24,999 and under",Economically Disadvantaged,0.0,
14277,BGCDC Sun Prairie,1984-08-04 00:00:00,,,,,,,,,0.0,
26153,BGCDC Sun Prairie,1982-09-27 00:00:00,,,,,,,,,1.0,2022-11-17
21029,BGCDC Allied Branch,1949-12-31 00:00:00,,,,,,,,,2.0,2022-01-15
21032,BGCDC Allied Branch,,,,,,,,,,2.0,2022-01-15
4298,BGCDC Allied Branch,2000-05-05 00:00:00,Home,53593,2.0,2.0,,Unknown,Unknown,Economically Disadvantaged,0.0,
1708,BGCDC Taft Branch,1992-03-10 00:00:00,Home,53704,3.0,3.0,,Both Parents,"$24,999 and under",Economically Disadvantaged,0.0,
8427,BGCDC Taft Branch,2001-07-05 00:00:00,,,,2.0,,,,Unknown,0.0,
23265,BGCDC Allied Branch,1977-05-12 00:00:00,,,,,,,,,2.0,2022-01-15
8393,BGCDC Taft Branch,2000-11-15 00:00:00,,,,2.0,,,,Unknown,0.0,
23948,BGCDC Allied Branch,1965-05-18 00:00:00,,,,,,,,,2.0,2022-01-15
4792,BGCDC Taft Branch,1995-10-18 00:00:00,Home,53713,4.0,2.0,,Mother/ Other,Unknown,Economically Disadvantaged,0.0,
4299,BGCDC Allied Branch,1999-03-11 00:00:00,Home,53593,2.0,2.0,,Unknown,Unknown,Economically Disadvantaged,0.0,
3099,BGCDC Allied Branch,2004-03-15 00:00:00,Apartment,53711,,1.0,,Mother,,Unknown,0.0,
3253,BGCDC Allied Branch,2005-03-15 00:00:00,Apartment,,2.0,3.0,,Mother,"$24,999 and under",Economically Disadvantaged,0.0,
3255,BGCDC Allied Branch,2005-03-05 00:00:00,Apartment,53711,,1.0,,Mother,,Unknown,0.0,
30188,BGCDC Allied Branch,2023-05-12 00:00:00,,,,1.0,,,,Unknown,0.0,
18704,BGCDC Allied Branch,2013-08-20 00:00:00,Home,53711,,1.0,,,,Unknown,3.0,2021-09-04
32861,BGCDC Walco,2008-12-05 00:00:00,Home,53711,4.0,4.0,,Unknown,"$24,999 and under",Economically Disadvantaged,0.0,
8626,BGCDC Taft Branch,2008-12-05 00:00:00,Home,53711,4.0,4.0,,Unknown,"$24,999 and under",Economically Disadvantaged,0.0,
32862,BGCDC Walco,2010-05-14 00:00:00,Home,53711,4.0,4.0,,Unknown,"$24,999 and under",Economically Disadvantaged,0.0,
8627,BGCDC Taft Branch,2010-05-14 00:00:00,Home,53711,4.0,4.0,,Unknown,"$24,999 and under",Economically Disadvantaged,0.0,
8628,BGCDC Taft Branch,2011-05-22 00:00:00,Home,53711,4.0,4.0,,Unknown,"$24,999 and under",Economically Disadvantaged,0.0,
32863,BGCDC Walco,2011-05-22 00:00:00,Home,53711,4.0,4.0,,Unknown,"$24,999 and under",Economically Disadvantaged,0.0,
17708,BGCDC Walco,1953-01-15 00:00:00,,,,,,,,,0.0,
17694,BGCDC Walco,1978-10-27 00:00:00,,,,,,,,,1.0,2024-03-28
17707,BGCDC Walco,1995-02-19 00:00:00,,,,,,,,,1.0,2024-03-28
23035,BGCDC Allied Branch,1993-01-25 00:00:00,,,,,,,,,2.0,2022-01-15
23314,BGCDC Allied Branch,1953-10-28 00:00:00,,,,,,,,,2.0,2022-01-15
4018,BGCDC Allied Branch,2001-11-26 00:00:00,Home,53711,4.0,3.0,,Guardian,Unknown,Economically Disadvantaged,0.0,
4120,BGCDC Taft Branch,1994-01-01 00:00:00,Home,53713,7.0,2.0,,Mother,Unknown,Economically Disadvantaged,0.0,
1010,BGCDC Allied Branch,1999-07-28 00:00:00,Home,53711,,2.0,,Mother,,Unknown,0.0,
833,BGCDC Taft Branch,1993-11-10 00:00:00,Home,53711,,4.0,,Other,"$24,999 and under",Unknown,0.0,
5882,BGCDC Allied Branch,2000-04-11 00:00:00,Home,53713,4.0,6.0,110,Unknown,"$24,999 and under",Economically Disadvantaged,0.0,
3676,BGCDC Taft Branch,2000-04-11 00:00:00,Home,53713,4.0,6.0,110,Unknown,"$24,999 and under",Economically Disadvantaged,0.0,
10663,BGCDC Allied Branch,2005-08-05 00:00:00,Home,53719,2.0,2.0,Single Parent,Mother Only,"$25,000-$49,999",Economically Disadvantaged,0.0,
10650,BGCDC Taft Branch,2005-08-05 00:00:00,Home,53719,2.0,2.0,Single Parent,Mother Only,"$25,000-$49,999",Economically Disadvantaged,0.0,
9953,BGCDC Allied Branch,2010-10-24 00:00:00,Apartment,53545,2.0,2.0,Single Parent,Mother Only,"$25,000-$49,999",Economically Disadvantaged,0.0,
11559,BGCDC Walco,2010-10-24 00:00:00,Apartment,53545,2.0,2.0,Single Parent,Mother Only,"$25,000-$49,999",Economically Disadvantaged,0.0,
19399,BGCDC Allied Branch,1989-10-16 00:00:00,Home,53704,5.0,3.0,,,"$24,999 and under",Economically Disadvantaged,2.0,2022-01-15
22426,BGCDC Allied Branch,1989-10-16 00:00:00,,,,,,,,,2.0,2022-01-15
16561,BGCDC Taft Branch,1989-10-16 00:00:00,Home,53704,5.0,3.0,,,"$24,999 and under",Economically Disadvantaged,0.0,
274,BGCDC Taft Branch,1992-04-20 00:00:00,,,,4.0,,Unknown,,Unknown,0.0,
1669,BGCDC Allied Branch,1998-07-27 00:00:00,Home,53711,,1.0,,Mother,,Unknown,0.0,
30093,BGCDC Allied Branch,2007-12-02 00:00:00,,,,1.0,,,,Unknown,0.0,
929,BGCDC Taft Branch,1989-03-23 00:00:00,,,,2.0,,Mother,,Unknown,0.0,
909,BGCDC Allied Branch,2000-01-23 00:00:00,Home,53711,7.0,5.0,,,"$24,999 and under",Economically Disadvantaged,0.0,
20168,BGCDC Allied Branch,1982-11-26 00:00:00,,,,,,,,,2.0,2022-01-15
6391,BGCDC Allied Branch,1997-11-11 00:00:00,Home,,0.0,2.0,,Unknown,Unknown,Not Economically Disadvantaged,0.0,
273,BGCDC Taft Branch,1993-08-06 00:00:00,,,,4.0,,Unknown,,Unknown,0.0,
2659,BGCDC Allied Branch,2003-05-02 00:00:00,Home,,,1.0,,Mother,,Unknown,0.0,
899,BGCDC Allied Branch,1997-05-24 00:00:00,Home,53711,7.0,5.0,,,"$24,999 and under",Economically Disadvantaged,0.0,
22213,BGCDC Allied Branch,1950-02-28 00:00:00,,,,,,,,,2.0,2022-01-15
19298,BGCDC Taft Branch,1991-12-15 00:00:00,Home,53704,5.0,1.0,,,"$24,999 and under",Economically Disadvantaged,0.0,
18921,BGC Dane County/Admin,1991-12-15 00:00:00,Home,53704,5.0,1.0,,,"$24,999 and under",Economically Disadvantaged,1.0,2021-11-27
20166,BGCDC Allied Branch,,,,,,,,,,2.0,2022-01-15
20167,BGCDC Allied Branch,,,,,,,,,,2.0,2022-01-15
11499,BGCDC Walco,1980-12-11 00:00:00,,,,,,,,,0.0,
1337,BGCDC Allied Branch,2001-02-26 00:00:00,Home,53711,,1.0,,Both Parents,,Unknown,0.0,
30092,BGCDC Allied Branch,2016-07-19 00:00:00,,,,1.0,,,,Unknown,0.0,
10271,BGCDC Allied Branch,2012-02-10 00:00:00,Apartment,53562,2.0,2.0,Single Parent,Mother Only,"$24,999 and under",Economically Disadvantaged,0.0,
2589,BGCDC Taft Branch,1997-08-27 00:00:00,Home,53715,,3.0,,Grandparents,"$25,000-$49,999",Unknown,0.0,
17548,BGCDC Allied Branch,2005-08-10 00:00:00,,,,,,,,,0.0,
2588,BGCDC Taft Branch,1996-01-12 00:00:00,Home,53715,,3.0,,Grandparents,"$25,000-$49,999",Unknown,0.0,
5274,BGCDC Taft Branch,1997-12-12 00:00:00,,,,1.0,,Unknown,,Unknown,0.0,
930,BGCDC Taft Branch,,Home,53705,2.0,3.0,,Mother,"$24,999 and under",Economically Disadvantaged,0.0,
30091,BGCDC Allied Branch,1963-08-02 00:00:00,,,,1.0,,,,Unknown,0.0,
4976,BGCDC Taft Branch,2001-11-26 00:00:00,Home,53711,3.0,4.0,,Other,Unknown,Economically Disadvantaged,0.0,
18703,BGCDC Allied Branch,2006-03-06 00:00:00,Home,53711,,1.0,,,,Unknown,3.0,2021-09-04
648,BGCDC Allied Branch,1999-02-19 00:00:00,Home,53711,7.0,5.0,,,"$24,999 and under",Economically Disadvantaged,0.0,
169,BGCDC Taft Branch,1988-09-06 00:00:00,Home,53711,,4.0,,Other,"$24,999 and under",Unknown,0.0,
7725,BGCDC Taft Branch,1998-08-06 00:00:00,,,,2.0,,,,Unknown,0.0,
20803,BGCDC Allied Branch,1968-10-14 00:00:00,,,,,,,,,2.0,2022-01-15
21854,BGCDC Allied Branch,1954-12-18 00:00:00,,,,,,,,,2.0,2022-01-15
8654,BGCDC Taft Branch,2008-09-10 00:00:00,Home,53704,5.0,3.0,,,"$24,999 and under",Economically Disadvantaged,0.0,
16982,BGCDC Allied Branch,2008-09-10 00:00:00,Home,53704,5.0,3.0,,,"$24,999 and under",Economically Disadvantaged,0.0,
1340,BGCDC Taft Branch,1992-06-25 00:00:00,Home,53711,,1.0,,Mother,,Unknown,0.0,
1310,BGCDC Allied Branch,1992-06-25 00:00:00,Home,53711,,1.0,,Mother,,Unknown,0.0,
17549,BGCDC Allied Branch,2007-03-24 00:00:00,,,,,,,,,0.0,
1822,BGCDC Allied Branch,2001-08-24 00:00:00,Home,53711,,1.0,,Mother,,Unknown,0.0,
4282,BGCDC Taft Branch,2001-08-24 00:00:00,Home,53711,,1.0,,Mother,,Unknown,0.0,
12158,BGCDC Sun Prairie,2008-12-12 00:00:00,,,,,,,,,0.0,
1052,BGCDC Taft Branch,1996-10-05 00:00:00,,,,4.0,,Unknown,,Unknown,0.0,
5883,BGCDC Allied Branch,1999-12-27 00:00:00,Apartment,53711,2.0,2.0,,Other,Unknown,Economically Disadvantaged,0.0,
6378,BGCDC Taft Branch,2009-11-09 00:00:00,Home,53704,,1.0,,Grandparents,,Unknown,84.0,2024-01-05
11163,BGCDC Taft Branch,2005-07-05 00:00:00,Home,,3.0,2.0,Single Parent,Father Only,"$25,000-$49,999",Economically Disadvantaged,0.0,
19878,BGCDC Allied Branch,2005-07-05 00:00:00,Home,,3.0,2.0,Single Parent,Father Only,"$25,000-$49,999",Economically Disadvantaged,2.0,2022-01-15
32937,BGCDC Walco,2005-07-05 00:00:00,Home,,3.0,2.0,Single Parent,Father Only,"$25,000-$49,999",Economically Disadvantaged,0.0,
27595,BGCDC Allied Branch,2007-04-23 00:00:00,,,,,,,,,0.0,
7052,BGCDC Allied Branch,2011-03-25 00:00:00,Apartment,53719,5.0,2.0,,Mother,,Unknown,0.0,
25408,BGCDC Taft Branch,2019-07-09 00:00:00,,,,,,,,,2.0,2022-08-18
25406,BGCDC Taft Branch,2009-04-15 00:00:00,,,,,,,,,2.0,2022-08-18
9377,BGCDC Allied Branch,2009-04-15 00:00:00,Home,53711,4.0,3.0,Both Parents,Both Parents,"$24,999 and under",Economically Disadvantaged,0.0,
9376,BGCDC Allied Branch,2012-05-22 00:00:00,Home,53711,4.0,3.0,Both Parents,Both Parents,"$24,999 and under",Economically Disadvantaged,0.0,
25407,BGCDC Taft Branch,2012-05-22 00:00:00,,,,,,,,,2.0,2022-08-18
7000,BGCDC Allied Branch,2006-04-12 00:00:00,Home,53711,,3.0,,Mother,"$24,999 and under",Unknown,0.0,
28446,BGCDC Allied Branch,,,,,,,,,,0.0,
28448,BGCDC Allied Branch,,,,,,,,,,0.0,
8467,BGCDC Taft Branch,2001-07-20 00:00:00,,,,2.0,,,,Unknown,0.0,
25059,BGCDC Taft Branch,2014-07-28 00:00:00,Apartment,53704,,3.0,,,,Unknown,100.0,2022-10-21
25047,BGCDC Allied Branch,2014-07-28 00:00:00,Home,53704,3.0,4.0,Single Parent,Mother Only,"$24,999 and under",Economically Disadvantaged,1.0,2022-10-13
25049,BGCDC Allied Branch,2014-07-28 00:00:00,Home,53704,3.0,4.0,Single Parent,Mother Only,"$24,999 and under",Economically Disadvantaged,0.0,
25048,BGCDC Allied Branch,2014-07-28 00:00:00,Home,53704,3.0,4.0,Single Parent,Mother Only,"$24,999 and under",Economically Disadvantaged,0.0,
3277,BGCDC Taft Branch,1999-05-04 00:00:00,,,,3.0,,Mother,,Unknown,0.0,
22736,BGCDC Allied Branch,1951-11-10 00:00:00,,,,,,,,,2.0,2022-01-15
6727,BGCDC Allied Branch,2003-11-20 00:00:00,Home,53719,4.0,3.0,,Both Parents,"$25,000-$49,999",Economically Disadvantaged,0.0,
29366,BGCDC Allied Branch,,,,,,,,,,0.0,
28522,BGCDC Allied Branch,,,,,,,,,,0.0,
28350,BGCDC Allied Branch,,,,,,,,,,0.0,
28567,BGCDC Allied Branch,,,,,,,,,,0.0,
28390,BGCDC Allied Branch,,,,,,,,,,0.0,
29539,BGCDC Allied Branch,,,,,,,,,,0.0,
2613,BGCDC Allied Branch,2010-09-16 00:00:00,Home,53711,,1.0,,Both Parents,,Unknown,0.0,
